Row,Tag,DevComment
Settings.Display.Brightness,Settings.Display.Brightness,Settings.Display.Brightness
Settings.Display.Contrast,Settings.Display.Contrast,Settings.Display.Contrast
Settings.Display.Saturation,Settings.Display.Saturation,Settings.Display.Saturation
Settings.Display.FOV,Settings.Display.FOV,Settings.Display.FOV
Settings.Display.UIScale,Settings.Display.UIScale,Settings.Display.UIScale
Settings.Display.HDR,Settings.Display.HDR,Settings.Display.HDR
Settings.Display.ColorBlind,Settings.Display.ColorBlind,Settings.Display.ColorBlind
Settings.Display.SafeZone,Settings.Display.SafeZone,Settings.Display.SafeZone
Settings.Display.DisplayMode,Settings.Display.DisplayMode,Settings.Display.DisplayMode
Settings.Display.DisplayMonitor,Settings.Display.DisplayMonitor,Settings.Display.DisplayMonitor
Settings.Display.FrameRateLimit,Settings.Display.FrameRateLimit,Settings.Display.FrameRateLimit
Settings.Display.AntiAliasingType,Settings.Display.AntiAliasingType,Settings.Display.AntiAliasingType
Settings.Graphics.MotionBlurAmount,Settings.Graphics.MotionBlurAmount,Settings.Graphics.MotionBlurAmount
Settings.Display.Language,Settings.Display.Language,Settings.Display.Language
Settings.Controls.MouseSensitivity,Settings.Controls.MouseSensitivity,Settings.Controls.MouseSensitivity
Settings.Controls.ReverseMouseY,Settings.Controls.ReverseMouseY,Settings.Controls.ReverseMouseY
Settings.Controls.MouseSmoothing,Settings.Controls.MouseSmoothing,Settings.Controls.MouseSmoothing
Settings.Controls.MouseAcceleration,Settings.Controls.MouseAcceleration,Settings.Controls.MouseAcceleration
Settings.Controls.MouseSensitivityX,Settings.Controls.MouseSensitivityX,Settings.Controls.MouseSensitivityX
Settings.Controls.MouseSensitivityY,Settings.Controls.MouseSensitivityY,Settings.Controls.MouseSensitivityY
Settings.Controls.ControllerSensitivity,Settings.Controls.ControllerSensitivity,Settings.Controls.ControllerSensitivity
Settings.Controls.ControllerDeadzone,Settings.Controls.ControllerDeadzone,Settings.Controls.ControllerDeadzone
Settings.Controls.ControllerVibration,Settings.Controls.ControllerVibration,Settings.Controls.ControllerVibration
Settings.Controls.ControllerVibrationStrength,Settings.Controls.ControllerVibrationStrength,Settings.Controls.ControllerVibrationStrength
Settings.Controls.MouseWheelSensitivity,Settings.Controls.MouseWheelSensitivity,Settings.Controls.MouseWheelSensitivity
Settings.Graphics.Resolution,Settings.Graphics.Resolution,Settings.Graphics.Resolution
Settings.Graphics.Quality,Settings.Graphics.Quality,Settings.Graphics.Quality
Settings.Graphics.VSync,Settings.Graphics.VSync,Settings.Graphics.VSync
Settings.Graphics.AntiAliasingQuality,Settings.Graphics.AntiAliasingQuality,Settings.Graphics.AntiAliasingQuality
Settings.Graphics.TextureQuality,Settings.Graphics.TextureQuality,Settings.Graphics.TextureQuality
Settings.Graphics.TextureFilteringQuality,Settings.Graphics.TextureFilteringQuality,Settings.Graphics.TextureFilteringQuality
Settings.Graphics.FoliageQuality,Settings.Graphics.FoliageQuality,Settings.Graphics.FoliageQuality
Settings.Graphics.ShadowQuality,Settings.Graphics.ShadowQuality,Settings.Graphics.ShadowQuality
Settings.Graphics.ShadingQuality,Settings.Graphics.ShadingQuality,Settings.Graphics.ShadingQuality
Settings.Graphics.VFXQuality,Settings.Graphics.VFXQuality,Settings.Graphics.VFXQuality
Settings.Graphics.PostProcessQuality,Settings.Graphics.PostProcessQuality,Settings.Graphics.PostProcessQuality
Settings.Graphics.ViewDistance,Settings.Graphics.ViewDistance,Settings.Graphics.ViewDistance
Settings.Graphics.ScreenSpaceReflection,Settings.Graphics.ScreenSpaceReflection,Settings.Graphics.ScreenSpaceReflection
Settings.Graphics.Bloom,Settings.Graphics.Bloom,Settings.Graphics.Bloom
Settings.Graphics.LensFlares,Settings.Graphics.LensFlares,Settings.Graphics.LensFlares
Settings.Graphics.OverallQuality,Settings.Graphics.OverallQuality,Settings.Graphics.OverallQuality
Settings.Audio.MasterVolume,Settings.Audio.MasterVolume,Settings.Audio.MasterVolume
Settings.Audio.MusicVolume,Settings.Audio.MusicVolume,Settings.Audio.MusicVolume
Settings.Audio.SFXVolume,Settings.Audio.SFXVolume,Settings.Audio.SFXVolume
Settings.Audio.VoiceVolume,Settings.Audio.VoiceVolume,Settings.Audio.VoiceVolume
Settings.Audio.AmbientVolume,Settings.Audio.AmbientVolume,Settings.Audio.AmbientVolume
Settings.Accessibility.SubtitlesEnabled,Settings.Accessibility.SubtitlesEnabled,Settings.Accessibility.SubtitlesEnabled
Settings.Accessibility.SubtitleTextSize,Settings.Accessibility.SubtitleTextSize,Settings.Accessibility.SubtitleTextSize
Settings.Accessibility.SubtitleBgOpacity,Settings.Accessibility.SubtitleBgOpacity,Settings.Accessibility.SubtitleBgOpacity
Settings.Accessibility.SubtitleSpeakerLabels,Settings.Accessibility.SubtitleSpeakerLabels,Settings.Accessibility.SubtitleSpeakerLabels
